T	Rxx_Sept 2024_#2 by Chris
1.9992	0.5326971
2.0005	0.5326971
1.9991	0.5326973
2.0009	0.5326973
2	0.5327061
1.999	0.5327061
2.0011	0.532676
1.9991	0.5327167
2.0004	0.5327167
2.0013	0.5327061
1.9989	0.5327061
2.001	0.5326853
2.0014	0.5326853
1.999	0.5327113
2.0003	0.5327113
2.0014	0.5326777
1.999	0.5326777
1.9997	0.5327118
2.0008	0.5327118
1.9989	0.5326908
2.001	0.5326908
1.9997	0.5327088
1.9992	0.5326872
2.0012	0.5326872
1.9991	0.5327047
2.0005	0.5327047
2.0009	0.5326859
1.9986	0.5326859
2.0007	0.5327039
1.9994	0.5327039
2.0007	0.5327055
2.0009	0.5327055
1.9987	0.5326968
2.0004	0.5326968
2.0013	0.532703
1.999	0.5326954
2	0.5326954
2.0015	0.5327049
1.9992	0.5327049
2.0003	0.532702
2.0013	0.532702
1.9989	0.5327142
2.0004	0.5327142
2.0013	0.5327197
1.9996	0.5327197
2	0.5326962
2.0008	0.5326962
1.999	0.5327017
2.0007	0.5326911
2.0008	0.5326911
1.9992	0.5327164
2.0008	0.5327164
2.0002	0.5326998
1.999	0.5326998
2.0012	0.5326982
1.9998	0.5326982
1.9996	0.5327036
2.001	0.5327036
1.999	0.5326869
2.0001	0.5326869
2.0004	0.5326881
1.9987	0.5326881
2.0008	0.5327189
2.0001	0.5327189
1.9993	0.5327014
2.0008	0.5327047
1.9995	0.5327047
1.9986	0.532702
2.001	0.532702
2.0001	0.5326949
1.9996	0.5326949
2.0008	0.5327178
1.9992	0.5327178
1.9986	0.5327028
2.001	0.5327028
1.9993	0.5327094
2.0002	0.5327224
2.0013	0.5327224
1.9989	0.5327224
2.0004	0.5327183
2.0012	0.5327107
1.9988	0.5327107
2.0009	0.5327165
2.0001	0.5327165
1.9993	0.5326799
2.001	0.5326799
1.9997	0.5327216
1.9986	0.5327216
2.0009	0.5327075
1.9996	0.5327075
2.0001	0.5326897
2.001	0.5326897
1.9987	0.5327003
2.0001	0.5326859
2.0012	0.5326859
1.9988	0.5327096
2.0004	0.5327096
2.0003	0.5326965
1.9987	0.5326965
2.0002	0.5326872
2.0013	0.5326872
1.9989	0.5327162
2.0004	0.5327162
2.0012	0.5327014
1.9988	0.5327014
2.0006	0.5326998
2.0011	0.5326867
1.9988	0.5326867
2.0004	0.5326848
2.001	0.5326848
1.9987	0.5326856
2.0001	0.5326856
2.0012	0.5326853
1.9987	0.5326853
2.0002	0.5327025
2.0012	0.5327025
1.9992	0.5327052
1.9995	0.5327052
2.0009	0.5327072
1.9994	0.5327072
2.0001	0.532712
2.0009	0.5326968
1.9988	0.5326968
1.9997	0.5327009
2.001	0.5327009
1.9996	0.5326919
1.9999	0.5326919
2.0007	0.5327014
1.9996	0.5327014
1.999	0.5327022
2.0007	0.5327022
2.0009	0.5326914
1.9992	0.5326914
2.0006	0.5326965
2.0004	0.5326837
1.9999	0.5326837
2.0008	0.5326935
1.9988	0.5326935
2.0005	0.5327132
2.001	0.5327132
1.9987	0.5327153
2.0002	0.5327153
2.0008	0.532685
1.9987	0.532685
2	0.5326905
2.001	0.5326905
1.9993	0.5326924
2	0.5326979
2.0008	0.5326979
1.9996	0.5327142
1.9988	0.5327142
2.0007	0.532703
2.0011	0.532703
1.9985	0.5327162
2.0003	0.5327162
2.0009	0.5327094
1.9989	0.5327094
2.0004	0.5326842
2.001	0.5326842
1.9984	0.5327047
2.0002	0.532694
2.0009	0.532694
1.999	0.5326987
2.0004	0.5326987
2.001	0.5327025
1.9992	0.5327025
2.0004	0.532694
2	0.532694
1.9995	0.5327033
2.0005	0.5327033
1.9997	0.5327164
2	0.5327164
2.0009	0.5327069
1.9991	0.5327069
1.9997	0.532693
2.0008	0.5326895
2.0004	0.5326895
1.9998	0.532702
2.0005	0.532702
2	0.5327047
1.9993	0.5327047
2.0004	0.5327004
1.9987	0.5327004
1.9999	0.5326954
2.0006	0.5326954
1.9999	0.5326802
1.9992	0.5326802
2.0006	0.5327181
2.0007	0.5327181
1.9995	0.5326872
2.0004	0.5326796
2.0009	0.5326796
1.9988	0.5327044
2.0004	0.5327044
2.0007	0.5327047
1.9989	0.5327047
2.0003	0.5327181
2.0007	0.5327181
1.9987	0.5326954
2.0002	0.5326954
2.0006	0.5327072
2.0003	0.5327072
1.9998	0.5326853
2.0006	0.5327009
1.9992	0.5327009
1.9991	0.5326957
2.0004	0.5326957
2.0008	0.5326968
1.9988	0.5326968
1.9997	0.5327096
2.0006	0.5327096
2.0009	0.5327033
1.9987	0.5327033
2.0003	0.532684
2.0007	0.532684
1.9992	0.5326902
1.9997	0.5326722
2.0003	0.5326722
2.0007	0.5326976
1.9999	0.5326976
1.9998	0.5327238
2.0004	0.5327238
2.0008	0.5326853
1.9988	0.5326853
2.0004	0.5327003
2.0007	0.5327003
1.9982	0.5326935
1.9998	0.5326935
2.0004	0.5327178
2.0007	0.5327178
1.9997	0.5326979
1.9997	0.5326979
2.0005	0.5326848
2.0008	0.5326845
1.9992	0.5326845
2.0002	0.5326954
2.0007	0.5326954
1.9989	0.5327061
1.9995	0.5327061
2.0005	0.5327042
2.0008	0.5327042
1.9987	0.5326987
2.0001	0.5326987
2.0006	0.5327139
1.9994	0.5327139
2.0001	0.5327047
2.0005	0.532708
2.0005	0.532708
1.9987	0.5327077
2.0002	0.5327077
2.0005	0.5326949
1.9991	0.5326949
1.9993	0.5327028
2.0003	0.5327028
2.0006	0.5327052
2.0008	0.5327052
1.999	0.5326982
2.0002	0.5326982
2.0004	0.5327036
